feature_id,customer_id,feature_type,amount,start_date,end_date
62,3628,Locker,17722.1,2022-12-12,2024-12-11
63,588,Loan,94707.14,2016-03-10,2019-03-10
64,7260,Overdraft,66438.41,2023-09-09,2028-09-07
65,2798,Loan,55951.91,2015-11-12,2016-11-11
66,3508,Loan,70325.47,2015-12-03,2019-12-02
67,7450,Loan,9686.9,2018-04-21,2023-04-20
68,3288,Locker,74652.54,2022-11-11,2026-11-10
69,6034,Insurance,21238.07,2018-10-18,2019-10-18
70,280,Insurance,4742.46,2022-05-23,2024-05-22
71,4358,Locker,67967.0,2017-05-31,2022-05-30
72,2797,Insurance,64852.05,2022-05-26,2026-05-25
73,7882,Overdraft,12679.76,2023-07-14,2027-07-13
74,557,Credit Card,25786.71,2017-09-19,2018-09-19
75,7863,Overdraft,28694.19,2020-08-11,2024-08-10
76,2197,Locker,12934.34,2020-06-15,2023-06-15
77,5190,Locker,44720.32,2015-04-16,2019-04-15
78,5565,Insurance,89159.72,2023-09-17,2024-09-16
79,7754,Loan,57594.5,2023-08-05,2027-08-04
80,6162,Loan,90127.81,2022-07-27,2027-07-26
81,435,Loan,23496.05,2015-05-17,2020-05-15
82,6695,Loan,54052.88,2016-07-25,2018-07-25
83,5971,Loan,78693.54,2017-07-01,2018-07-01
84,914,Loan,28379.17,2020-12-22,2024-12-21
85,2045,Loan,91269.92,2017-03-02,2019-03-02
86,5402,Locker,70887.06,2021-06-04,2024-06-03
87,5799,Insurance,91872.49,2019-11-02,2024-10-31
88,2893,Locker,91610.84,2015-05-13,2018-05-12
89,372,Insurance,64608.48,2017-09-14,2020-09-13
90,7035,Insurance,19763.61,2019-09-05,2023-09-04
91,5592,Credit Card,65370.46,2017-06-10,2019-06-10
92,4493,Overdraft,98143.84,2019-11-11,2022-11-10
93,591,Credit Card,21632.64,2023-06-15,2025-06-14
94,2958,Locker,83124.28,2023-10-23,2028-10-21
95,5689,Overdraft,92677.28,2018-02-25,2020-02-25
96,7624,Locker,70477.09,2021-11-12,2026-11-11
97,1403,Loan,65931.44,2017-08-05,2020-08-04
98,6523,Insurance,70389.13,2018-06-10,2023-06-09
99,1698,Credit Card,5420.69,2021-07-10,2025-07-09
100,5573,Overdraft,14573.42,2017-07-04,2021-07-03
101,6332,Loan,84126.48,2015-03-05,2018-03-04
102,190,Locker,59961.36,2019-10-07,2021-10-06
103,3412,Loan,89774.49,2019-03-05,2023-03-04
104,4411,Insurance,44711.94,2023-01-17,2024-01-17
105,7608,Overdraft,73601.73,2023-02-17,2026-02-16
106,737,Credit Card,43587.54,2023-03-20,2024-03-19
107,7369,Loan,29886.73,2017-11-07,2019-11-07
108,7689,Credit Card,6330.02,2017-07-02,2022-07-01
109,4938,Locker,8388.28,2022-08-02,2024-08-01
110,3828,Credit Card,88331.06,2022-03-18,2023-03-18
111,1473,Insurance,37481.42,2023-02-14,2026-02-13
112,2047,Loan,49351.73,2021-05-28,2025-05-27
113,1580,Overdraft,59768.03,2017-06-12,2021-06-11
114,5820,Locker,49986.72,2019-09-12,2023-09-11
115,7082,Loan,15335.36,2023-02-10,2026-02-09
116,2209,Overdraft,50649.94,2016-04-13,2021-04-12
117,5158,Loan,18870.37,2020-05-27,2022-05-27
118,5995,Credit Card,64855.0,2016-10-02,2018-10-02
119,6390,Overdraft,79426.97,2022-02-21,2027-02-20
120,6202,Credit Card,56033.79,2016-10-04,2017-10-04
121,4222,Loan,52892.56,2020-04-18,2024-04-17
122,3732,Loan,92714.4,2021-04-10,2023-04-10
123,7042,Loan,73136.9,2023-06-30,2024-06-29
124,761,Loan,13601.18,2023-06-10,2026-06-09
125,1141,Loan,34748.07,2022-10-03,2023-10-03
126,940,Insurance,34075.87,2017-08-05,2018-08-05
127,2819,Loan,98408.41,2016-06-07,2020-06-06
128,1620,Credit Card,26625.58,2016-09-12,2020-09-11
129,7461,Locker,68847.27,2021-10-23,2024-10-22
130,7303,Credit Card,71367.92,2016-11-07,2019-11-07
131,950,Loan,81270.17,2018-10-31,2022-10-30
132,4723,Overdraft,73447.38,2018-10-15,2023-10-14
133,1679,Overdraft,39664.26,2021-02-11,2023-02-11
134,7701,Overdraft,53955.0,2021-05-26,2025-05-25
135,100,Loan,16726.95,2023-02-11,2027-02-10
136,7760,Loan,84685.65,2018-07-31,2020-07-30
137,2110,Credit Card,80189.41,2017-12-26,2019-12-26
138,6746,Loan,89463.51,2019-03-12,2020-03-11
139,1526,Loan,70187.08,2020-12-16,2025-12-15
140,1543,Overdraft,55894.69,2022-03-25,2024-03-24
141,4535,Credit Card,63615.7,2017-05-08,2022-05-07
142,4174,Overdraft,13207.37,2022-06-29,2024-06-28
143,6226,Loan,20673.99,2020-02-12,2025-02-10
144,2800,Insurance,89504.73,2018-07-14,2023-07-13
145,1560,Overdraft,45829.71,2022-09-02,2024-09-01
146,1504,Locker,94197.57,2016-08-22,2017-08-22
147,1036,Locker,79637.75,2020-04-12,2021-04-12
148,6484,Loan,90436.05,2019-11-26,2023-11-25
149,7587,Locker,71675.08,2016-09-05,2017-09-05
150,2571,Locker,42812.24,2015-07-09,2020-07-07
151,4623,Locker,90183.12,2023-12-28,2028-12-26
152,3312,Credit Card,32601.26,2023-03-04,2028-03-02
153,6105,Credit Card,79743.96,2019-03-26,2024-03-24
154,3391,Locker,55479.51,2022-01-18,2027-01-17
155,6661,Loan,87668.24,2015-09-27,2017-09-26
156,2414,Insurance,2449.16,2019-07-27,2022-07-26
157,5321,Loan,45213.4,2015-08-20,2020-08-18
158,5358,Locker,55192.19,2016-11-23,2018-11-23
159,6066,Credit Card,46172.63,2022-09-01,2023-09-01
160,7150,Loan,18069.86,2019-10-12,2023-10-11
161,1335,Overdraft,78593.62,2023-04-25,2026-04-24
162,8000,Credit Card,38429.07,2019-07-17,2022-07-16
163,5020,Locker,90725.83,2017-10-02,2020-10-01
164,5812,Credit Card,61184.28,2015-10-20,2019-10-19
165,4788,Overdraft,52638.16,2018-08-10,2020-08-09
166,4693,Locker,38026.33,2021-09-17,2025-09-16
167,5317,Insurance,30365.18,2019-05-15,2023-05-14
168,3466,Loan,28029.61,2017-03-01,2022-02-28
169,3486,Loan,81042.38,2019-06-11,2020-06-10
170,3506,Locker,9240.86,2019-12-22,2021-12-21
171,1453,Credit Card,69361.89,2015-11-30,2018-11-29
172,288,Locker,85137.2,2020-03-07,2025-03-06
173,3059,Loan,17145.34,2020-12-05,2023-12-05
174,1661,Overdraft,24993.46,2019-08-30,2021-08-29
175,7961,Locker,38443.82,2020-06-27,2025-06-26
176,3409,Credit Card,52753.89,2022-10-13,2026-10-12
177,616,Credit Card,47369.63,2019-03-14,2021-03-13
178,1954,Loan,92536.4,2019-09-17,2021-09-16
179,2135,Loan,23214.62,2016-03-04,2020-03-03
180,2233,Loan,28959.28,2015-05-13,2020-05-11
181,5989,Insurance,74409.18,2016-02-20,2017-02-19
182,3377,Insurance,38843.55,2021-02-11,2023-02-11
183,2928,Loan,94268.89,2021-08-21,2024-08-20
184,5068,Locker,51055.79,2022-05-11,2023-05-11
185,4617,Credit Card,38487.32,2017-10-21,2022-10-20
186,6423,Insurance,79426.07,2022-06-21,2024-06-20
187,7280,Overdraft,65592.86,2021-02-22,2024-02-22
188,7420,Overdraft,44825.53,2023-02-19,2024-02-19
189,5587,Loan,39389.08,2020-02-22,2024-02-21
190,2555,Loan,56477.38,2018-07-08,2022-07-07
191,2762,Overdraft,35483.18,2016-01-23,2021-01-21
192,2789,Overdraft,47444.11,2018-02-04,2021-02-03
193,6002,Overdraft,69665.83,2022-08-18,2027-08-17
194,2364,Credit Card,2860.92,2019-09-06,2024-09-04
195,1887,Insurance,40966.92,2023-11-01,2027-10-31
196,1951,Insurance,73683.63,2021-09-02,2022-09-02
197,3896,Credit Card,28302.15,2019-05-07,2020-05-06
198,6792,Locker,37939.17,2021-09-07,2026-09-06
199,5176,Locker,91302.74,2019-01-20,2024-01-19
200,6989,Loan,68716.51,2020-07-12,2023-07-12
201,3755,Locker,40006.6,2021-04-17,2023-04-17
202,3361,Locker,55263.14,2022-01-22,2027-01-21
203,1754,Insurance,43138.71,2022-08-18,2024-08-17
204,4007,Insurance,50302.75,2021-08-18,2023-08-18
205,2176,Overdraft,43124.34,2018-09-16,2019-09-16
206,5660,Insurance,6518.02,2017-03-25,2022-03-24
207,2723,Overdraft,76861.46,2023-08-22,2025-08-21
208,2083,Insurance,54173.54,2022-07-29,2023-07-29
209,3094,Credit Card,46255.46,2021-08-25,2026-08-24
210,7859,Overdraft,80875.86,2017-09-17,2018-09-17
211,1596,Locker,5535.61,2022-03-07,2024-03-06
212,6551,Credit Card,10155.33,2018-11-12,2019-11-12
213,1652,Locker,78601.0,2022-04-25,2024-04-24
214,5273,Overdraft,34226.78,2021-06-15,2026-06-14
215,426,Loan,94090.31,2018-12-18,2019-12-18
216,5448,Loan,45211.43,2018-09-18,2020-09-17
217,216,Loan,36694.19,2022-02-17,2027-02-16
218,6961,Locker,18151.33,2019-09-03,2021-09-02
219,4890,Locker,56570.28,2018-03-04,2019-03-04
220,7782,Credit Card,76130.75,2018-02-07,2022-02-06
221,3879,Locker,89494.94,2023-05-26,2024-05-25
222,4361,Loan,67134.28,2022-06-16,2023-06-16
223,2104,Locker,60670.47,2019-03-09,2024-03-07
224,2849,Insurance,74843.84,2018-10-13,2022-10-12
225,731,Overdraft,66142.32,2018-04-12,2023-04-11
226,3880,Loan,37301.4,2023-09-20,2026-09-19
227,3432,Insurance,3940.82,2016-07-08,2021-07-07
228,4972,Insurance,24000.73,2023-11-02,2026-11-01
229,4591,Credit Card,46018.62,2016-09-05,2019-09-05
230,2234,Loan,26765.54,2022-02-20,2023-02-20
231,2272,Insurance,49490.13,2020-09-18,2023-09-18
232,7958,Credit Card,41296.48,2017-11-22,2019-11-22
233,3867,Locker,28491.06,2017-02-04,2021-02-03
234,6090,Insurance,72027.8,2015-08-28,2016-08-27
235,5387,Loan,10826.46,2016-04-09,2019-04-09
236,4695,Locker,19155.56,2023-09-25,2025-09-24
237,5148,Insurance,59136.06,2018-06-01,2019-06-01
238,4350,Credit Card,74521.85,2019-05-22,2020-05-21
239,3680,Insurance,31984.17,2022-02-12,2025-02-11
240,2811,Insurance,52855.81,2015-08-24,2017-08-23
241,3228,Credit Card,44523.26,2023-09-18,2024-09-17
242,4455,Insurance,76956.34,2016-12-06,2019-12-06
243,7007,Locker,6390.12,2015-02-19,2016-02-19
244,4214,Overdraft,69409.43,2015-01-25,2020-01-24
245,5148,Credit Card,4755.46,2016-11-04,2019-11-04
246,6894,Locker,54581.89,2015-07-19,2018-07-18
247,6451,Locker,9154.04,2021-01-08,2022-01-08
248,2456,Loan,8296.08,2021-10-31,2026-10-30
249,23,Loan,80141.28,2015-10-24,2017-10-23
250,4273,Overdraft,20355.34,2015-09-03,2019-09-02
251,3165,Insurance,62262.09,2022-08-01,2023-08-01
252,4999,Loan,25846.06,2019-09-06,2021-09-05
253,5681,Overdraft,6495.44,2017-03-07,2021-03-06
254,973,Locker,86832.99,2023-12-28,2025-12-27
255,5392,Locker,9938.17,2019-08-05,2022-08-04
256,956,Overdraft,74633.35,2021-11-01,2024-10-31
257,1927,Insurance,4512.03,2015-07-26,2018-07-25
258,5800,Locker,78456.08,2021-10-06,2022-10-06
259,5716,Insurance,35105.5,2020-11-15,2024-11-14
260,4875,Overdraft,40874.54,2016-12-14,2021-12-13
261,3818,Insurance,40377.76,2018-10-07,2020-10-06
262,2961,Loan,73386.54,2023-05-27,2026-05-26
263,3899,Insurance,94184.78,2020-12-14,2022-12-14
264,3015,Insurance,30667.11,2017-09-15,2021-09-14
265,4786,Overdraft,93174.05,2022-06-16,2025-06-15
266,7322,Loan,46581.54,2016-01-17,2017-01-16
267,6819,Overdraft,10302.36,2018-05-21,2023-05-20
268,4191,Locker,38730.87,2015-09-26,2019-09-25
269,1475,Insurance,57573.72,2023-03-10,2025-03-09
270,6806,Locker,59267.74,2021-04-11,2024-04-10
271,3595,Overdraft,7123.02,2016-01-18,2017-01-17
272,5404,Credit Card,13319.31,2021-02-19,2024-02-19
273,762,Locker,97737.44,2022-03-01,2024-02-29
274,3971,Credit Card,40323.32,2021-11-22,2022-11-22
275,7333,Insurance,42588.0,2019-11-03,2022-11-02
276,289,Locker,3441.12,2023-04-20,2025-04-19
277,4441,Overdraft,60937.95,2017-07-16,2022-07-15
278,6310,Locker,63853.94,2015-08-27,2018-08-26
279,3022,Locker,93298.19,2022-12-12,2024-12-11
280,4566,Locker,76825.13,2021-03-03,2023-03-03
281,2641,Loan,75778.87,2015-04-29,2020-04-27
282,7212,Insurance,97237.15,2016-09-30,2017-09-30
283,2667,Insurance,81724.87,2023-11-18,2028-11-16
284,2246,Loan,55784.96,2017-03-16,2021-03-15
285,59,Overdraft,87237.52,2016-09-24,2021-09-23
286,5382,Locker,66227.58,2022-11-12,2023-11-12
287,276,Insurance,40361.22,2019-05-27,2024-05-25
288,1860,Loan,61829.94,2021-03-13,2023-03-13
289,6522,Loan,62065.45,2023-04-03,2027-04-02
290,3490,Locker,78644.51,2019-11-08,2021-11-07
291,6669,Overdraft,80848.61,2020-06-01,2024-05-31
292,4622,Loan,41650.01,2018-10-14,2021-10-13
293,991,Overdraft,94309.35,2020-09-14,2021-09-14
294,3136,Overdraft,66325.49,2015-05-12,2020-05-10
295,6570,Locker,8918.99,2020-11-11,2024-11-10
296,1254,Overdraft,1232.62,2020-03-11,2023-03-11
297,4600,Credit Card,50079.85,2017-08-07,2021-08-06
298,6634,Insurance,27215.47,2019-01-23,2022-01-22
299,345,Overdraft,95052.68,2021-11-03,2026-11-02
300,724,Loan,62626.65,2023-04-13,2024-04-12
301,2564,Insurance,22871.66,2018-08-30,2022-08-29
302,6873,Locker,19290.4,2019-10-19,2022-10-18
303,4960,Insurance,22279.06,2020-05-31,2024-05-30
304,2224,Insurance,38636.19,2021-08-21,2023-08-21
305,4514,Overdraft,2339.98,2019-12-17,2023-12-16
306,7081,Credit Card,37353.41,2023-04-01,2026-03-31
307,300,Credit Card,86831.18,2018-11-20,2021-11-19
308,1247,Locker,78702.62,2023-12-17,2024-12-16
309,7951,Overdraft,43749.97,2015-10-25,2016-10-24
310,1272,Locker,90322.8,2018-08-30,2023-08-29
311,5666,Loan,82917.19,2023-08-14,2028-08-12
312,6740,Insurance,69762.23,2016-01-14,2019-01-13
313,3321,Loan,33440.35,2020-07-11,2022-07-11
314,2228,Overdraft,70711.46,2023-11-21,2025-11-20
315,1887,Insurance,94650.74,2019-09-15,2021-09-14
316,1868,Insurance,29835.99,2023-03-27,2026-03-26
317,5770,Overdraft,56275.58,2019-12-01,2023-11-30
318,6126,Credit Card,86680.69,2023-01-20,2026-01-19
319,5632,Overdraft,55487.08,2020-02-15,2021-02-14
320,347,Overdraft,89547.34,2018-06-15,2020-06-14
321,5477,Loan,22939.68,2020-05-12,2023-05-12
322,6295,Locker,70475.71,2018-02-02,2023-02-01
323,4458,Locker,96198.04,2023-03-05,2025-03-04
324,1729,Credit Card,36465.42,2019-05-04,2022-05-03
325,5427,Credit Card,34070.2,2020-02-07,2021-02-06
326,6848,Insurance,36952.0,2021-08-28,2026-08-27
327,2484,Loan,83102.73,2023-09-02,2028-08-31
328,6466,Overdraft,65919.13,2020-10-18,2021-10-18
329,2266,Overdraft,29521.31,2019-07-11,2021-07-10
330,3389,Locker,87461.41,2015-03-01,2019-02-28
331,4597,Credit Card,17564.5,2021-12-03,2024-12-02
332,6464,Locker,14831.26,2021-03-19,2024-03-18
333,4865,Credit Card,65181.2,2020-11-14,2025-11-13
334,1700,Overdraft,65615.02,2017-12-23,2021-12-22
335,3420,Locker,21561.76,2015-06-29,2018-06-28
336,3871,Overdraft,57064.55,2017-02-12,2020-02-12
337,4851,Insurance,52564.18,2018-06-22,2021-06-21
338,4868,Locker,43435.92,2020-08-12,2022-08-12
339,1886,Overdraft,13091.3,2021-11-21,2025-11-20
340,5487,Locker,50328.31,2018-10-03,2020-10-02
341,6291,Insurance,9955.63,2017-03-18,2018-03-18
342,6954,Loan,42392.48,2016-03-04,2020-03-03
343,3062,Overdraft,39438.14,2017-10-31,2021-10-30
344,1151,Overdraft,46766.1,2020-08-23,2025-08-22
345,7215,Locker,79686.59,2021-01-01,2024-12-31
346,185,Locker,36366.74,2022-02-08,2024-02-08
347,936,Insurance,22023.53,2022-06-29,2027-06-28
348,768,Credit Card,88172.54,2021-06-10,2022-06-10
349,6201,Locker,59470.01,2022-06-11,2026-06-10
350,7092,Loan,14911.86,2015-03-05,2016-03-04
351,354,Insurance,26493.19,2019-03-21,2023-03-20
352,6553,Locker,88340.75,2019-05-04,2023-05-03
353,255,Loan,94083.15,2023-05-18,2024-05-17
354,955,Overdraft,18275.25,2023-11-20,2028-11-18
355,6028,Insurance,1916.62,2015-08-07,2017-08-06
356,1352,Overdraft,20034.64,2017-10-02,2022-10-01
357,1030,Credit Card,63634.06,2020-09-01,2025-08-31
358,2912,Loan,11895.57,2015-02-28,2018-02-27
359,2456,Overdraft,31392.38,2021-12-11,2022-12-11
360,698,Locker,11341.67,2015-12-31,2017-12-30
361,3631,Locker,79743.71,2021-05-02,2024-05-01
362,5118,Locker,6578.7,2018-07-27,2020-07-26
363,7639,Loan,41336.81,2019-04-19,2023-04-18
364,5928,Overdraft,90645.51,2015-06-19,2018-06-18
365,7823,Credit Card,67812.61,2016-08-01,2019-08-01
366,2915,Overdraft,8629.73,2017-10-07,2021-10-06
367,7347,Credit Card,84214.48,2018-12-31,2020-12-30
368,7081,Overdraft,4117.07,2019-12-01,2024-11-29
369,4693,Insurance,14413.35,2020-05-16,2025-05-15
370,3347,Insurance,17802.56,2015-08-14,2017-08-13
371,6753,Locker,35862.07,2021-02-07,2022-02-07
372,800,Insurance,3869.58,2019-09-23,2022-09-22
373,3349,Insurance,80918.76,2021-06-22,2025-06-21
374,6272,Credit Card,81969.74,2018-02-07,2020-02-07
375,2268,Loan,85628.22,2016-03-29,2019-03-29
376,6283,Locker,1365.75,2018-12-14,2021-12-13
377,7133,Credit Card,92744.08,2018-08-09,2021-08-08
378,363,Credit Card,90600.12,2020-01-04,2023-01-03
379,7885,Credit Card,52637.92,2015-12-31,2020-12-29
380,1455,Locker,10092.24,2018-06-22,2022-06-21
381,7797,Locker,99256.87,2022-11-13,2025-11-12
382,3120,Loan,94268.27,2017-03-29,2021-03-28
383,353,Loan,17224.04,2021-09-22,2022-09-22
384,7165,Overdraft,22375.41,2015-08-23,2017-08-22
385,123,Locker,4410.64,2022-06-28,2023-06-28
386,7459,Overdraft,8264.51,2022-08-29,2024-08-28
387,5841,Locker,35861.81,2018-05-20,2020-05-19
388,3571,Overdraft,1796.94,2016-07-29,2018-07-29
389,1509,Credit Card,81520.36,2021-04-02,2026-04-01
390,1616,Credit Card,70342.44,2023-02-25,2025-02-24
391,2439,Overdraft,1958.1,2017-12-15,2022-12-14
392,4794,Loan,80165.62,2017-04-17,2018-04-17
393,7008,Loan,70088.56,2022-06-04,2023-06-04
394,234,Loan,67224.01,2021-11-19,2024-11-18
395,4226,Loan,11783.66,2020-06-21,2024-06-20
396,1319,Overdraft,77389.22,2020-04-15,2025-04-14
397,6416,Loan,63414.29,2021-08-10,2026-08-09
398,5625,Overdraft,72174.63,2016-03-31,2017-03-31
399,7801,Insurance,6539.38,2023-09-12,2027-09-11
400,3841,Loan,59069.25,2017-10-03,2021-10-02
401,4180,Credit Card,41675.26,2016-06-08,2021-06-07
402,2169,Insurance,89508.63,2021-08-29,2024-08-28
403,965,Locker,67852.27,2022-03-23,2024-03-22
404,5101,Credit Card,96122.6,2018-06-07,2019-06-07
405,6368,Insurance,52660.55,2022-11-07,2025-11-06
406,2950,Overdraft,87616.22,2019-04-25,2022-04-24
407,605,Locker,50412.97,2016-05-04,2017-05-04
408,5443,Insurance,4771.31,2021-05-05,2025-05-04
409,7510,Insurance,21274.39,2018-02-06,2023-02-05
410,3259,Loan,48163.04,2022-07-27,2026-07-26
411,2370,Loan,89639.93,2017-03-20,2019-03-20
412,5794,Locker,27920.74,2020-06-06,2025-06-05
413,3624,Overdraft,23453.7,2017-06-27,2021-06-26
414,3064,Locker,81077.22,2021-06-21,2023-06-21
415,590,Insurance,87294.77,2016-08-22,2020-08-21
416,3613,Locker,22680.85,2015-05-15,2016-05-14
417,5525,Locker,56244.57,2017-03-09,2022-03-08
418,3021,Loan,5238.23,2015-12-06,2016-12-05
419,2508,Overdraft,60183.93,2022-10-07,2024-10-06
420,1217,Loan,60469.36,2017-08-09,2021-08-08
421,5251,Insurance,12744.07,2019-02-20,2022-02-19
422,2411,Loan,9614.49,2018-08-22,2019-08-22
423,3431,Overdraft,2758.0,2020-11-26,2023-11-26
424,3353,Insurance,9080.38,2018-10-28,2022-10-27
425,203,Overdraft,96751.37,2023-01-02,2028-01-01
426,2397,Loan,15303.71,2016-03-20,2020-03-19
427,2271,Credit Card,58442.9,2018-07-10,2023-07-09
428,4795,Overdraft,4198.12,2018-06-27,2019-06-27
429,6391,Credit Card,47272.22,2019-01-11,2023-01-10
430,4870,Insurance,54029.88,2019-05-29,2024-05-27
431,204,Loan,67732.57,2015-06-12,2019-06-11
432,3003,Overdraft,40429.08,2019-04-04,2023-04-03
433,819,Loan,59354.02,2015-06-18,2016-06-17
434,475,Overdraft,59596.27,2023-03-02,2025-03-01
435,5542,Insurance,35194.48,2021-01-26,2022-01-26
436,6253,Credit Card,98655.23,2016-04-30,2020-04-29
437,3176,Overdraft,84111.29,2021-02-10,2022-02-10
438,2718,Credit Card,9933.62,2016-03-23,2019-03-23
439,5589,Credit Card,88657.41,2016-12-09,2018-12-09
440,961,Overdraft,45427.61,2018-12-04,2022-12-03
441,1322,Locker,86563.62,2016-06-10,2018-06-10
442,2005,Loan,39792.64,2023-05-22,2028-05-20
443,7725,Loan,38325.42,2021-07-03,2024-07-02
444,7860,Overdraft,62805.24,2021-08-15,2023-08-15
445,1062,Locker,63718.93,2023-04-11,2025-04-10
446,6441,Overdraft,87249.79,2016-04-10,2019-04-10
447,700,Overdraft,89809.93,2021-09-12,2024-09-11
448,2285,Locker,8980.83,2020-09-26,2024-09-25
449,92,Locker,59026.74,2021-11-16,2024-11-15
450,2379,Insurance,90625.64,2017-05-09,2020-05-08
451,5972,Locker,2425.8,2022-03-08,2024-03-07
452,3601,Loan,14547.15,2021-03-09,2026-03-08
453,2535,Loan,43468.84,2016-10-03,2021-10-02
454,2136,Locker,70597.07,2023-04-11,2024-04-10
455,345,Loan,8818.75,2016-07-07,2017-07-07
456,296,Insurance,99137.15,2016-06-11,2017-06-11
457,3280,Loan,62154.6,2017-05-02,2019-05-02
458,6344,Locker,9975.68,2016-08-06,2021-08-05
459,2806,Loan,74729.77,2016-01-01,2016-12-31
460,3131,Credit Card,81221.53,2016-11-04,2021-11-03
461,321,Loan,30196.57,2016-05-14,2019-05-14
462,7883,Locker,79752.02,2016-04-14,2019-04-14
463,6695,Insurance,6559.91,2022-07-13,2026-07-12
464,3415,Locker,61361.03,2019-06-15,2021-06-14
465,4767,Loan,26545.15,2018-02-13,2020-02-13
466,5693,Loan,73542.85,2022-06-24,2026-06-23
467,903,Insurance,88469.53,2018-06-19,2021-06-18
468,5184,Overdraft,72480.74,2016-02-13,2020-02-12
469,6938,Insurance,28258.74,2021-11-04,2023-11-04
470,6721,Credit Card,65929.21,2017-02-17,2021-02-16
471,7232,Insurance,37882.86,2016-02-05,2021-02-03
472,6540,Credit Card,71812.92,2020-02-25,2022-02-24
473,2214,Loan,55639.22,2017-01-18,2018-01-18
474,515,Locker,49421.58,2023-02-06,2024-02-06
475,5487,Credit Card,26716.76,2020-10-28,2024-10-27
476,653,Overdraft,80485.5,2017-11-10,2018-11-10
477,3886,Credit Card,41123.2,2019-05-02,2024-04-30
478,4379,Insurance,85764.67,2019-05-31,2024-05-29
479,6856,Overdraft,86718.7,2018-06-02,2023-06-01
480,7323,Loan,28819.51,2018-09-02,2019-09-02
481,3612,Locker,71026.69,2023-04-24,2026-04-23
482,757,Loan,61470.85,2021-01-21,2025-01-20
483,4603,Loan,14667.65,2021-12-26,2022-12-26
484,4575,Locker,26286.67,2016-06-30,2019-06-30
485,2523,Locker,26884.83,2018-07-16,2021-07-15
